year,in_reactor+U235,in_reactor+U238,in_reactor+PU238,in_reactor+PU239,in_reactor+PU240,in_reactor+PU241,in_reactor+PU242,in_reactor+AM241,
0,0,0,0,0,0,0,0,0,
1,0.103896,43.5497,0.0398188,4.88361,2.81884,0.210708,0.279561,0.063876,
2,0.0173159,7.25828,0.00663647,0.813935,0.469807,0.035118,0.0465935,0.010646,
3,0.0173159,7.25828,0.00663647,0.813935,0.469807,0.035118,0.0465935,0.010646,
4,0.0173159,7.25828,0.00663647,0.813935,0.469807,0.035118,0.0465935,0.010646,
5,0.0173159,7.25828,0.00663647,0.813935,0.469807,0.035118,0.0465935,0.010646,
6,0.0173159,7.25828,0.00663647,0.813935,0.469807,0.035118,0.0465935,0.010646,
7,0.0173159,7.25828,0.00663647,0.813935,0.469807,0.035118,0.0465935,0.010646,
8,0.0173159,7.25828,0.00663647,0.813935,0.469807,0.035118,0.0465935,0.010646,
9,0.0173159,7.25828,0.00663647,0.813935,0.469807,0.035118,0.0465935,0.010646,
10,0.0173159,7.25828,0.00663647,0.813935,0.469807,0.035118,0.0465935,0.010646,
